,CMPLNT_NUM,ADDR_PCT_CD,BORO_NM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,CRM_ATPT_CPTD_CD,HADEVELOPT,HOUSING_PSA,JURISDICTION_CODE,JURIS_DESC,KY_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,OFNS_DESC,PARKS_NM,PATROL_BORO,PD_CD,PD_DESC,PREM_TYP_DESC,RPT_DT,STATION_NAME,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon,New Georeferenced Column
87,453319239,43,BRONX,12/27/2021,09:47:00,12/27/2021,14:42:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,351,MISDEMEANOR,,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO BRONX,259.0,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",TRANSIT - NYC SUBWAY,12/27/2021,EAST 177 ST.-PARKCHESTER,,,,12.0,UNKNOWN,UNKNOWN,D,1020219,239110,40.82291230800007,-73.87004130399998,"(40.82291230800007, -73.87004130399998)",POINT (-73.87004130399998 40.82291230800007)
111,802228793,47,BRONX,12/25/2021,02:00:00,12/25/2021,02:15:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,106,FELONY,,FELONY ASSAULT,,PATROL BORO BRONX,109.0,"ASSAULT 2,1,UNCLASSIFIED",HOMELESS SHELTER,12/25/2021,BURKE AVENUE,25-44,WHITE HISPANIC,M,12.0,45-64,WHITE HISPANIC,F,1020990,256795,40.87144920400005,-73.867158697,"(40.87144920400005, -73.867158697)",POINT (-73.867158697 40.87144920400005)
136,331081520,40,BRONX,12/27/2021,07:50:00,,,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,344,MISDEMEANOR,,ASSAULT 3 & RELATED OFFENSES,,PATROL BORO BRONX,101.0,ASSAULT 3,TRANSIT - NYC SUBWAY,12/27/2021,138 ST.-GRAND CONCOURSE,25-44,WHITE HISPANIC,M,11.0,25-44,BLACK,M,1003517,235593,40.81331135300008,-73.93039761899996,"(40.81331135300008, -73.93039761899996)",POINT (-73.93039761899996 40.81331135300008)
177,843949635,52,BRONX,12/22/2021,11:25:00,12/22/2021,11:35:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,344,MISDEMEANOR,,ASSAULT 3 & RELATED OFFENSES,,PATROL BORO BRONX,101.0,ASSAULT 3,TRANSIT - NYC SUBWAY,12/22/2021,KINGSBRIDGE ROAD,25-44,BLACK,M,11.0,<18,WHITE HISPANIC,F,1013463,254828,40.86607851200006,-73.89438301399997,"(40.86607851200006, -73.89438301399997)",POINT (-73.89438301399997 40.86607851200006)
212,945496378,6,MANHATTAN,12/23/2021,07:06:00,12/23/2021,07:15:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,351,MISDEMEANOR,,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO MAN SOUTH,259.0,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",TRANSIT - NYC SUBWAY,12/23/2021,8 AVENUE,,,,2.0,UNKNOWN,UNKNOWN,D,983551,208788,40.739759650000046,-74.00252386299998,"(40.739759650000046, -74.00252386299998)",POINT (-74.00252386299998 40.739759650000046)
279,197150433,52,BRONX,12/27/2021,13:05:00,12/27/2021,13:09:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,578,VIOLATION,,HARRASSMENT 2,,PATROL BORO BRONX,638.0,"HARASSMENT,SUBD 3,4,5",TRANSIT - NYC SUBWAY,12/27/2021,FORDHAM ROAD,UNKNOWN,WHITE HISPANIC,U,11.0,25-44,WHITE HISPANIC,F,1011612,253618,40.86276336100008,-73.90108016499995,"(40.86276336100008, -73.90108016499995)",POINT (-73.90108016499995 40.86276336100008)
281,101622361,7,MANHATTAN,12/22/2021,17:20:00,12/22/2021,17:35:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,109,FELONY,,GRAND LARCENY,,PATROL BORO MAN SOUTH,418.0,"LARCENY,GRAND BY ACQUIRING LOST CREDIT CARD",TRANSIT - NYC SUBWAY,12/22/2021,DELANCEY STREET,UNKNOWN,UNKNOWN,U,4.0,25-44,WHITE HISPANIC,M,987521,201066,40.718564066000056,-73.98820145399996,"(40.718564066000056, -73.98820145399996)",POINT (-73.98820145399996 40.718564066000056)
288,830151253,13,MANHATTAN,12/30/2021,02:15:00,12/30/2021,02:20:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,121,FELONY,,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO MAN SOUTH,269.0,"MISCHIEF,CRIMINAL,    UNCL 2ND",TRANSIT - NYC SUBWAY,12/30/2021,28 STREET,25-44,WHITE HISPANIC,M,4.0,UNKNOWN,UNKNOWN,D,988663,210090,40.74333224400005,-73.98407582099996,"(40.74333224400005, -73.98407582099996)",POINT (-73.98407582099996 40.74333224400005)
318,462468770,78,BROOKLYN,12/22/2021,07:30:00,12/22/2021,07:45:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,578,VIOLATION,,HARRASSMENT 2,,PATROL BORO BKLYN SOUTH,637.0,"HARASSMENT,SUBD 1,CIVILIAN",TRANSIT - NYC SUBWAY,12/22/2021,7 AVENUE,45-64,BLACK,M,30.0,18-24,WHITE HISPANIC,F,989360,182242,40.666895659000026,-73.98158161699997,"(40.666895659000026, -73.98158161699997)",POINT (-73.98158161699997 40.666895659000026)
422,992748324,10,MANHATTAN,12/30/2021,04:00:00,12/30/2021,05:20:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,351,MISDEMEANOR,,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO MAN SOUTH,258.0,"CRIMINAL MISCHIEF 4TH, GRAFFIT",TRANSIT - NYC SUBWAY,12/30/2021,23 STREET,UNKNOWN,UNKNOWN,U,2.0,UNKNOWN,UNKNOWN,D,984669,210807,40.74530132000008,-73.99848931699995,"(40.745301320000074, -73.99848931699995)",POINT (-73.99848931699995 40.745301320000074)
